entityid,neighbourhood,neigh_id,single_family,two_unit,multi_unit,unit_total,area_hect,area_acres,units_per_hect,units_per_acre
027f2eb8-dc58-4057-b120-afcfca01653a,Parkridge,4,1136,124,329,1589,166,409,10,4
07767a30-94e5-4f98-8904-4a0334cc7896,Aspen Ridge,,,,,,,,,
086f03c9-4836-4241-8d55-bde21c3f3e63,Pacific Heights,5,1193,116,34,1343,134,331,10,4
0b0aa945-583e-4ce4-a8e0-1c742556f8a3,Avalon,29,1045,122,237,1404,146,360,10,4
1c1e4fa4-5342-404d-8006-e2a3308aa418,Kelsey - Woodlawn,105,308,82,5,395,162,399,2,1
1cb6e754-dc64-469d-a823-088fb2de41f2,Queen Elizabeth,30,679,194,214,1087,100,247,11,4
25119229-dbb2-424c-b17d-35d588559564,Brighton,80,,,,,,,,
2522b5be-f3ea-45cc-b836-2034a71ba46a,Airport Business Area,101,14,18,13,45,257,635,0,0
2c1315c7-48bd-483d-91e7-6d5cca28c648,Riversdale,14,564,98,330,992,87,216,11,5
2d2955b1-19ef-43e0-b470-355732fa010b,Meadowgreen,11,773,211,735,1719,123,305,14,6
31eb4b27-456d-44ab-8dbd-4ef732c6b0cd,Nutana SC,41,,,2263,2263,77,189,30,12
3274ceb5-c00f-4a82-8b7c-d2303071ba92,Lakeview,44,1646,233,1040,2919,199,493,15,6
3d575c34-d105-4683-b8e8-6db4fab512fe,Evergreen,69,1069,468,677,2214,262,647,8,3
4657cabe-1ecf-46c6-8c03-a37a8eff9d5b,Lakewood SC,68,,,1346,1346,98,241,14,6
489e6838-f2f5-43ed-83a0-37399e12bfc9,Greystone Heights,43,652,50,385,1087,99,244,11,4
4f393733-97ad-46eb-9310-d932c5915c97,Exhibition,28,695,186,448,1329,158,391,8,3
5098add5-a5bb-4eaa-9084-90269295fdfb,Adelaide/Churchill,38,1137,130,161,1428,150,370,10,4
54f0cb12-80c3-416b-9512-3753b8601e1d,Mayfair,19,856,258,26,1140,93,229,12,5
575d1fe1-4321-4f4b-9b2b-b2f116edb1c4,University Heights DA,902,2,,,2,1587,3921,0,0
5a3d5e30-ceea-4481-bc52-55cbd244d468,Lakeridge,58,1202,2,,1204,122,301,10,4
5d673fe4-4e9d-49e8-b94e-f58ac90b468c,King George,12,663,136,44,843,83,205,10,4
5f9b30c3-1892-4ada-8157-c6d8efba8e4e,Willowgrove,62,1713,62,1086,2861,220,545,13,5
60b04974-50aa-4c7f-a325-a51a9e11a33b,The Willows,31,161,,160,321,185,456,2,1
683ceb64-187f-46ce-94f2-5b986549a7eb,Blairmore SC,20,,,700,700,84,207,8,3
744566e2-f939-42c1-bca8-2f8fb613eb3b,Briarwood,64,1291,4,452,1747,168,415,10,4
74507243-e5e8-48d8-9b4d-f3a4f226f67a,Massey Place,9,823,80,377,1280,99,245,13,5
789d5eff-41db-4e31-bf3d-0778072b7792,Arbor Creek,59,1312,4,343,1659,151,372,11,4
79acc547-9897-4695-954d-31cf50ae49ff,Holliston,36,952,154,437,1543,141,348,11,4
7b0a8bed-6d87-49cd-aa58-e591a2609d23,U of S Lands South MA,716,,,721,721,166,411,4,2
7c438500-9dbc-4349-86b1-b3528b80f49b,West Industrial,111,10,2,24,36,74,182,0,0
7ca4012b-7d9a-4422-90b9-9f26a52d306b,Blairmore DA,903,28,18,2,48,1382,3414,0,0
80261e65-073c-40e5-aa79-62f996f6208c,North Park,51,668,193,142,1003,83,206,12,5
81a65df6-f27a-4d5e-8184-76f50856adf2,College Park,46,1087,310,693,2090,178,440,12,5
8b9b3748-ee4c-49ce-bb12-1a7f6d7a86e3,Lawson Heights,55,995,114,878,1987,140,346,14,6
8cfc97d2-b49e-4be8-96c9-fd3744c5b265,Wildwood,45,885,90,3011,3986,282,696,14,6
9d50b84e-14ab-4774-9e54-fc45982b9310,Pleasant Hill,13,712,185,1391,2288,117,288,20,8
9f2b1d29-b793-4355-99ef-53776fd1b9c6,Central Business District,25,3,,2557,2560,117,289,22,9
a278151b-0dd0-475b-874f-5358fc48f14b,Holmwood DA,904,2,,,2,,,,
a3413252-1fff-4cb8-a82c-f7980f7e1e99,Nutana,26,1258,200,2116,3574,182,450,20,8
a535acfa-a5d6-4eb4-81bf-a4b7be7087b8,Erindale,60,1123,8,329,1460,134,331,11,4
a8ba41c8-8aa1-4c69-8e32-f6fd4b570e69,Elk Point,22,,,,,,,,
b0b63a0a-41de-4f36-88a2-5d6f313d72e6,Mount Royal,15,1180,274,530,1984,198,490,10,4
b33d6ead-518d-49c1-850e-34dc7f705e29,City of Saskatoon,,56656,9268,41500,107424,2896,7157,37,15
b56ab029-910e-4ec4-baff-caff3018ae2b,Varsity View,33,828,434,694,1956,127,313,15,6
b7e5530e-3dc6-4b8c-a839-b83323a10246,Hampton Village,10,1653,328,789,2770,193,477,14,6
ba21856b-fdaf-444b-9aaa-a29408a523e3,Caswell Hill,17,1129,124,418,1671,124,305,14,5
bd085877-2147-42b3-88c8-1250bcbdd704,Silverspring,61,1312,12,362,1686,178,440,9,4
c493f41c-bf02-4059-a2fe-2310188080c7,Dundonald,7,1342,64,437,1843,132,327,14,6
c6c91d34-b1fc-403f-ba52-f10f0b308043,Richmond Heights,52,262,44,120,426,47,117,9,4
c86c3a6a-10a1-4b58-9a83-5e5ac7d54e73,Holiday Park,1,406,134,235,775,68,167,11,5
ca4f73b5-2c49-4953-9877-0d2f124369c1,Nutana Park,39,885,140,19,1044,117,289,9,4
cde4dee1-6531-4170-a5d2-ec1574759a7a,Kensington,21,108,42,175,325,215,531,2,1
d0c096eb-e5c1-4da8-936d-48c24f3d6636,Confederation SC,57,,,445,445,99,244,5,2
d2b6732a-3bfe-464b-abd6-fd07daa293a9,Grosvenor Park,35,326,22,416,764,65,161,12,5
d3699d4a-267e-4408-b32c-122446b02016,Lawson Heights SC,54,,,1039,1039,85,209,12,5
d6390f27-cd2b-4f1d-a50e-2e6902eaca14,University Heights SC,67,,,1048,1048,92,228,11,5
d81a277b-2647-49e4-9061-3c1bd94e8d2d,City Park,50,625,90,2250,2965,139,343,21,9
d83a8638-266d-43ff-9ade-494438205290,Westmount,16,736,212,96,1044,98,243,11,4
d888f151-dbcc-4064-87d6-fcbaf6fa32e6,Buena Vista,27,1083,256,290,1629,127,313,13,5
e1a7829d-25a3-41e7-8874-48d1ffbebbbe,River Heights,53,1206,112,457,1775,195,481,9,4
e35f84a2-5a5a-4f28-a0e3-45d468d3472a,Stonebridge,37,2199,333,1630,4162,446,1103,9,4
e51d6fff-8365-468d-98df-8865d6cc8084,Confederation Park,6,1762,70,522,2354,158,390,15,6
e6d86e27-602b-408b-8010-89592ac2c5ce,South West Industrial,108,5,,,5,,,,
e7b99323-7858-4e26-8f01-e10b1a1811c1,North Industrial,106,1,,,1,,,,
f1eb99cc-c02b-438e-8d72-f4883be32a15,Westview,8,1015,173,57,1245,120,296,10,4
f2335ee6-4c4d-4760-ba5d-744d32f72c85,Haultain,32,951,309,137,1397,104,257,13,5
f2fb0d55-53c2-4228-9bc7-a7f678852cab,Montgomery Place,2,860,50,192,1102,254,627,4,2
f3a51098-dc96-41be-ba40-3a230979f9a7,Fairhaven,3,805,164,993,1962,111,275,18,7
f42164fb-63ba-4760-96dc-109abf3c6499,College Park East,47,1335,30,430,1795,161,397,11,5
f495e96a-3da6-4d94-ae0b-df3d51890049,Central Industrial,102,,,77,77,70,174,1,0
f52aa7f7-4e1b-412f-9cef-64d58e1faf2e,Eastview,40,865,300,310,1475,146,361,10,4
f95e7a4e-bca2-4b9d-96db-5997c3cf9da9,Rosewood,63,691,270,584,1545,365,903,4,2
f9e26c91-b748-4077-b65a-6ed006b5e5ee,Brevoort Park,42,769,218,482,1469,122,302,12,5
fb8f0b59-1ca5-45b0-96cd-3d81065c7b49,Silverwood Heights,56,2752,358,546,3656,371,917,10,4
fbe4702b-9477-4665-b1d7-adb69a792848,Hudson Bay Park,18,578,110,298,986,128,316,8,3
fdf636cb-7051-46ab-a197-66c897ff167a,Forest Grove,49,1290,353,562,2205,161,397,14,6
fdfe1455-2152-459b-bcef-6cd9aa84e8ae,Sutherland,48,1041,390,1153,2584,214,530,12,5
